HeatFuel,FID
GAS,1872
GAS,1873
GAS,1874
GAS,1875
OIL,1876
GAS,1877
GAS,1878
GAS,1879
GAS,1880
ELECTRIC,1881
GAS,1882
GAS,1883
GAS,1884
GAS,1885
ELECTRIC,1886
,1887
GAS,1888
GAS,1889
OIL,1890
GAS,1891
OIL,1892
ELECTRIC,1893
GAS,1894
GAS,1895
GAS,1896
GAS,1897
OIL,1898
GAS,1899
GAS,1900
OIL,1901
GAS,1902
GAS,1903
OIL,1904
GAS,1905
GAS,1906
GAS,1907
GAS,1908
GAS,1909
,1910
GAS,1911
GAS,1912
GAS,1913
GAS,1914
GAS,1915
GAS,1916
GAS,1917
GAS,1918
GAS,1919
GAS,1920
GAS,1921
GAS,1922
GAS,1923
GAS,1924
GAS,1925
GAS,1926
GAS,1927
GAS,1928
GAS,1929
GAS,1930
OIL,1931
GAS,1932
GAS,1933
GAS,1934
GAS,1935
GAS,1936
GAS,1937
GAS,1938
GAS,1939
GAS,1940
GAS,1941
GAS,1942
GAS,1943
GAS,1944
GAS,1945
GAS,1946
GAS,1947
GAS,1948
GAS,1949
GAS,1950
GAS,1951
GAS,1952
GAS,1953
GAS,1954
GAS,1955
GAS,1956
OIL,1957
GAS,1958
GAS,1959
GAS,1960
OIL,1961
GAS,1962
OIL,1963
GAS,1964
GAS,1965
GAS,1966
GAS,1967
GAS,1968
GAS,1969
GAS,1970
GAS,1971
GAS,1972
GAS,1973
GAS,1974
GAS,1975
OIL,1976
GAS,1977
GAS,1978
OIL,1979
GAS,1980
GAS,1981
GAS,1982
,1983
GAS,1984
GAS,1985
ELECTRIC,1986
,1987
GAS,1988
OIL,1989
,1990
GAS,1991
,1992
GAS,1993
GAS,1994
GAS,1995
GAS,1996
GAS,1997
GAS,1998
GAS,1999
GAS,2000
ELECTRIC,2001
GAS,2002
OIL,2003
GAS,2004
OIL,2005
GAS,2006
GAS,2007
GAS,2008
ELECTRIC,2009
GAS,2010
OIL,2011
GAS,2012
GAS,2013
GAS,2014
GAS,2015
GAS,2016
OIL,2017
GAS,2018
GAS,2019
GAS,2020
GAS,2021
GAS,2022
GAS,2023
GAS,2024
,2025
GAS,2026
GAS,2027
OIL,2028
GAS,2029
GAS,2030
GAS,2031
GAS,2032
OIL,2033
GAS,2034
GAS,2035
GAS,2036
GAS,2037
GAS,2038
GAS,2039
GAS,2040
GAS,2041
GAS,2042
GAS,2043
GAS,2044
GAS,2045
GAS,2046
GAS,2047
,2048
GAS,2049
GAS,2050
GAS,2051
GAS,2052
GAS,2053
GAS,2054
GAS,2055
GAS,2056
GAS,2057
GAS,2058
OIL,2059
GAS,2060
GAS,2061
,2062
GAS,2063
ELECTRIC,2064
GAS,2065
GAS,2066
GAS,2067
GAS,2068
GAS,2069
GAS,2070
GAS,2071
GAS,2072
GAS,2073
GAS,2074
GAS,2075
GAS,2076
GAS,2077
GAS,2078
GAS,2079
GAS,2080
GAS,2081
PROPANE,2082
GAS,2083
GAS,2084
,2085
GAS,2086
GAS,2087
GAS,2088
GAS,2089
GAS,2090
GAS,2091
GAS,2092
GAS,2093
GAS,2094
GAS,2095
OIL,2096
OIL,2097
GAS,2098
OIL,2099
GAS,2100
GAS,2101
GAS,2102
GAS,2103
GAS,2104
GAS,2105
GAS,2106
OIL,2107
GAS,2108
OIL,2109
GAS,2110
OIL,2111
ELECTRIC,2112
GAS,2113
GAS,2114
GAS,2115
GAS,2116
GAS,2117
ELECTRIC,2118
GAS,2119
OIL,2120
GAS,2121
GAS,2122
GAS,2123
GAS,2124
GAS,2125
GAS,2126
ELECTRIC,2127
GAS,2128
GAS,2129
GAS,2130
GAS,2131
OIL,2132
GAS,2133
GAS,2134
GAS,2135
,2136
GAS,2137
GAS,2138
GAS,2139
GAS,2140
GAS,2141
GAS,2142
,2143
GAS,2144
GAS,2145
GAS,2146
GAS,2147
GAS,2148
GAS,2149
GAS,2150
GAS,2151
GAS,2152
GAS,2153
GAS,2154
GAS,2155
GAS,2156
OIL,2157
GAS,2158
GAS,2159
OIL,2160
GAS,2161
GAS,2162
GAS,2163
OIL,2164
GAS,2165
GAS,2166
GAS,2167
GAS,2168
GAS,2169
GAS,2170
GAS,2171
GAS,2172
GAS,2173
GAS,2174
GAS,2175
OIL,2176
OIL,2177
GAS,2178
GAS,2179
GAS,2180
OIL,2181
GAS,2182
GAS,2183
GAS,2184
GAS,2185
GAS,2186
GAS,2187
GAS,2188
OIL,2189
GAS,2190
GAS,2191
GAS,2192
OIL,2193
GAS,2194
GAS,2195
GAS,2196
GAS,2197
GAS,2198
GAS,2199
GAS,2200
GAS,2201
GAS,2202
GAS,2203
GAS,2204
GAS,2205
GAS,2206
GAS,2207
GAS,2208
GAS,2209
GAS,2210
GAS,2211
GAS,2212
GAS,2213
GAS,2214
OIL,2215
GAS,2216
ELECTRIC,2217
GAS,2218
OIL,2219
GAS,2220
GAS,2221
GAS,2222
GAS,2223
GAS,2224
GAS,2225
GAS,2226
GAS,2227
ELECTRIC,2228
GAS,2229
GAS,2230
GAS,2231
GAS,2232
