CurrentValue,FID
236400,2078
198000,2079
215600,2080
200000,2081
33100,2082
160000,2083
181300,2084
172200,2085
102400,2086
207900,2087
252900,2088
653200,2089
454200,2090
254700,2091
159700,2092
248900,2093
138500,2094
256800,2095
184200,2096
324800,2097
274600,2098
206200,2099
386300,2100
624200,2101
228200,2102
322000,2103
166400,2104
133730,2105
385400,2106
561300,2107
137900,2108
682400,2109
339900,2110
191900,2111
2889000,2112
442900,2113
211400,2114
243700,2115
325200,2116
326200,2117
118700,2118
379100,2119
255900,2120
369300,2121
329500,2122
450100,2123
215700,2124
240300,2125
386900,2126
118700,2127
175600,2128
181500,2129
345000,2130
319300,2131
399500,2132
728500,2133
266100,2134
276300,2135
464400,2136
315400,2137
3437200,2138
214400,2139
142200,2140
205000,2141
178300,2142
145900,2143
138900,2144
319000,2145
74907,2146
199300,2147
189000,2148
393100,2149
190700,2150
448700,2151
156100,2152
259700,2153
193000,2154
309100,2155
165700,2156
236400,2157
448700,2158
171500,2159
211900,2160
138500,2161
192100,2162
665700,2163
125100,2164
210000,2165
290300,2166
326500,2167
691300,2168
246500,2169
129300,2170
210400,2171
232100,2172
196000,2173
218000,2174
206400,2175
515500,2176
197100,2177
577900,2178
242300,2179
138500,2180
197900,2181
383200,2182
292200,2183
